Feature ID	Taxon	Confidence
ASV_131	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusicolla;s__Fusicolla_aquaeductuum	0.788627080838794
ASV_132	k__Fungi	0.8005950155823641
ASV_133	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes_ord_Incertae_sedis;f__Eremomycetaceae;g__Arthrographis;s__Arthrographis_kalrae	0.800780833657297
ASV_134	Unassigned	0.520832753011611
ASV_135	Unassigned	0.38280248670988803
ASV_136	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Dactylonectria;s__Dactylonectria_estremocensis	0.9850985900065711
ASV_137	k__Metazoa;p__Platyhelminthes;c__Trematoda;o__Plagiorchiida;f__Heterophyidae;g__Tetracladium;s__unidentified	0.720722514219207
ASV_138	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.9978894260415044
ASV_139	k__Fungi	0.7653338624208539
ASV_140	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7133351309382244
ASV_141	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.9977472766914791
ASV_142	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7134229787978992
ASV_143	Unassigned	0.5051042908277452
ASV_144	k__Fungi;p__Basidiomycota	0.7657861655206548
ASV_145	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7158526332769279
ASV_146	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7134960182157648
ASV_147	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Pseudeurotium;s__Pseudeurotium_ovale	0.9606010263603958
ASV_148	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_brunnescens	0.8229194067016398
ASV_149	k__Fungi;p__Ascomycota;c__Pezizomycotina_cls_Incertae_sedis;o__Pezizomycotina_ord_Incertae_sedis;f__Pezizomycotina_fam_Incertae_sedis;g__Arcuadendron;s__Arcuadendron_triangulare	0.7907858171737273
ASV_150	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales	0.9132935381747789
ASV_151	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium_simplicissimum	0.9827160759199477
ASV_152	k__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9999951823787486
ASV_153	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.7934783301236853
ASV_154	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.715639738524476
ASV_155	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7213928748633436
ASV_156	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__unidentified;s__unidentified	0.8600984370694278
ASV_157	k__Fungi	0.7173476401536536
ASV_158	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7132730488001456
ASV_159	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus	0.999999975116184
ASV_160	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Bartaliniaceae	0.8684626711459856
ASV_161	Unassigned	0.4249431559385306
ASV_162	Unassigned	0.6234012300725326
ASV_163	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Volutella;s__Volutella_ciliata	0.9701403124138738
ASV_164	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.716522066396529
ASV_165	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.739154905250972
ASV_166	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Monocillium;s__Monocillium_mucidum	0.9999756431621828
ASV_167	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma	0.9998915540004458
ASV_168	Unassigned	0.5188402149587111
ASV_169	Unassigned	0.6063819538742143
ASV_170	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Thelebolales	0.7549757598209684
ASV_171	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.7560918128990414
ASV_172	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Cyphellophoraceae;g__Cyphellophora;s__Cyphellophora_fusarioides	0.7991436830957763
ASV_173	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Arthrobotrys;s__Arthrobotrys_oudemansii	0.7946997537638959
ASV_174	Unassigned	0.5524779714988869
ASV_175	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7590303258894556
ASV_176	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola	0.9999001590117019
ASV_177	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_brassicae	0.9464304512858694
ASV_178	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_rutilum	0.9999999754685692
ASV_179	k__Fungi	0.9821886525419861
ASV_180	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Neocosmospora;s__Neocosmospora_rubicola	0.9998916468232413
ASV_181	k__Fungi	0.9783805875498157
ASV_182	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Gamsia;s__Gamsia_columbina	0.9230651651396726
ASV_183	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7136472399740909
ASV_184	k__Fungi	0.7241301431217249
ASV_185	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Myxotrichaceae;g__Oidiodendron;s__unidentified	0.9120711913898729
ASV_186	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_furcatum	0.999048952844459
ASV_187	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella	0.9967532230399978
ASV_188	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arachnomycetaceae;g__Arachnomyces;s__unidentified	0.9541244267586421
ASV_189	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales	0.7602987607984886
ASV_190	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.7207267767089451
ASV_191	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae;g__Cladorrhinum;s__Cladorrhinum_brunnescens	0.9000102977816303
ASV_192	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.9306895027739932
ASV_193	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales	0.7278411356513317
ASV_194	k__Fungi	0.8948674759207087
ASV_195	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Cephalotrichum	0.9992487018716977
ASV_196	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Xenopolyscytalum;s__Xenopolyscytalum_pinea	0.9999927468126659
ASV_197	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Vibrisseaceae;g__Phialocephala;s__Phialocephala_humicola	0.9999997257211909
ASV_198	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.715103554042469
ASV_199	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Fusarium	0.714879376072167
ASV_200	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hydnangiaceae;g__Laccaria	0.9999542935079166
